result_id,retailer,Platform,attribute,rule_type,deviation_percent,page_type,verdict,verdict_reason,created_at,Verifier,Status,Ticket No,
3dfb04f9-e6e8-414b-a3c4-d2326cccdef2,PetPlanet-UK,web,extract.productNo,condition,100,search,anomaly,Standard,2024-04-17T04:31:43.423Z,Flavio,,,
04dab427-08b3-49b8-9b19-8c88402aaff5,NormanGoodfellows-ZA,web,extract.productNo,condition,100,search,anomaly,Standard,2024-04-17T04:31:46.427Z,Flavio,,,
65ee8227-5abe-4a6a-ab23-56edd924c554,Nordstrom-US,web,extract.productNo,condition,100,search,anomaly,Standard,2024-04-17T04:31:47.889Z,Flavio,,,
e51b62fe-79d7-41b8-ad16-cb1bdd7042af,Bodystore-NO,web,extract.productNo,condition,100,search,anomaly,Standard,2024-04-17T04:31:48.821Z,Flavio,,,
3758fb5d-5a73-4360-b9af-c3ecf5f2d9e9,Benesse-JP,web,extract.productNo,condition,100,search,anomaly,Standard,2024-04-17T04:31:50.842Z,Flavio,,,
f8676c25-2149-406a-83e8-6f99726094df,Petsmart-CA,web,extract.productNo,condition,100,search,anomaly,Standard,2024-04-17T04:31:54.559Z,Flavio,,,
bb9cf0dd-9a02-4284-9b11-fbefb7e18b81,Apple-US,web,extract.productNo,condition,100,search,anomaly,Standard,2024-04-17T04:31:56.789Z,Flavio,,,
6afccde9-52f7-495b-9541-f28e38d5bd7d,PetDirect-NZ,web,extract.productNo,condition,100,search,anomaly,Standard,2024-04-17T04:32:03.915Z,Flavio,,,
d90dd3f2-01c5-44c5-9f2a-0244ba468018,Shipt-Publix-35242-US,web,extract.productNo,condition,100,search,anomaly,Standard,2024-04-17T04:30:56.655Z,Suprio,,,
bf28df04-790e-462f-8edd-b227ebd34ee5,Publix-US,web,extract.productNo,condition,100,search,anomaly,Standard,2024-04-17T04:30:58.639Z,Suprio,,,
f93981eb-6e2e-468d-8c65-af8895527d25,Canadian-Tire-CA,web,extract.productNo,condition,100,search,anomaly,Standard,2024-04-17T04:30:58.677Z,Suprio,,,
bc03589d-331f-4890-892e-ba0eab46f824,Mondou-CA,web,extract.productNo,condition,100,search,anomaly,Standard,2024-04-17T04:30:59.361Z,Suprio,,,
b6ce3487-2e20-409c-a92c-de6827e867a9,Bitiba-DE,web,extract.productNo,condition,100,search,anomaly,Standard,2024-04-17T04:31:00.658Z,Suprio,,,
56230c03-cd6e-4927-ab2a-0d4ae042dabb,KRuoka-SuperMarket-FI,web,extract.productNo,condition,100,search,anomaly,Standard,2024-04-17T04:31:01.468Z,Suprio,,,
792a95a4-6632-4df3-9c39-e0b71df935f5,Zooplus-NL,web,extract.productNo,condition,100,search,anomaly,Standard,2024-04-17T04:31:01.552Z,Suprio,,,
0e658bfb-5b89-4e9a-8673-8b0774493497,KRuoka-Market-FI,web,extract.productNo,condition,100,search,anomaly,Standard,2024-04-17T04:31:03.503Z,Suprio,,,
e9ab373e-885a-41ec-bddf-c65bde4458e8,KRuoka-CityMarket-FI,web,extract.productNo,condition,100,search,anomaly,Standard,2024-04-17T04:31:03.917Z,Suprio,,,
16e6341d-6f97-438a-9f78-136c7dd0b146,Americanas-BR,web,extract.productNo,condition,100,search,anomaly,Standard,2024-04-17T04:31:08.447Z,Suprio,,,
6102ea94-6751-44a4-bd92-41eb1c317405,LazMall-PH,web,extract.productNo,condition,100,search,anomaly,Standard,2024-04-26T04:31:10.776Z,,,,
7ef97e9d-8f04-4164-8743-712ffd64ebd7,Zooplus-ES,web,extract.productNo,condition,100,search,anomaly,Standard,2024-05-01T04:31:12.848Z,,,,
6884735e-dd56-4c8e-8c84-0a7bbf2f7955,VetZoo-SE,web,extract.productNo,condition,100,search,anomaly,Standard,2024-05-01T04:31:14.811Z,,,,
e4db3a89-3bdb-4b3c-9ee3-75a3f77537c6,LazMart-PH,web,extract.productNo,condition,100,search,anomaly,Standard,2024-05-01T04:31:16.551Z,,,,
fa666e19-4867-4032-9dc6-f3aaa7ee6c9a,Kiwoko-ES,web,extract.productNo,condition,100,search,anomaly,Standard,2024-05-01T04:31:16.715Z,,,,
5c18dde4-ff42-419f-9836-dc6b41321435,Zooplus-FR,web,extract.productNo,condition,100,search,anomaly,Standard,2024-05-01T04:31:16.931Z,,,,
01b783c0-eb48-42ce-929c-afa0e84bdf93,Miscota-ES,web,extract.productNo,condition,100,search,anomaly,Standard,2024-05-01T04:31:17.733Z,,,,
480404c6-c79f-494c-a6cd-a933e2759b8e,Grofers-IN,web,extract.productNo,condition,100,search,anomaly,Standard,2024-05-01T04:31:18.122Z,,,,
0b4dd0ef-fb43-498e-b97c-e24f80ade644,Mondou-CA,web,extract.productNo,condition,100,search,anomaly,Standard,2024-05-01T04:31:21.641Z,,,,
ac3a63a4-1f0b-4115-8b9b-f2c9c9d9d531,Lazada-PH,web,extract.productNo,condition,100,search,anomaly,Standard,2024-05-01T04:31:24.570Z,,,,
76d6ddd3-910a-4aed-9883-11c789807354,Canadian-Tire-CA,web,extract.productNo,condition,100,search,anomaly,Standard,2024-05-01T04:31:27.843Z,,,,
80b6b86f-d447-4bd9-b42c-3253fb20d12e,Matthew-Clark-UK,web,extract.productNo,condition,100,search,anomaly,Standard,2024-05-01T04:31:37.826Z,,,,
f0f58b61-f6a2-446d-ae05-45e41da096cc,Klikindomaret-ID,web,extract.productNo,condition,100,search,anomaly,Standard,2024-05-01T04:31:37.967Z,,,,
83225885-eed1-4d5a-b3c3-164c9e27df4f,Toys-R-Us-CA,web,extract.productNo,condition,100,search,anomaly,Standard,2024-05-01T04:30:33.827Z,,,,
dd45c51d-3972-486c-bfa5-57d78ae4b36a,PetSupermarket-US,web,extract.productNo,condition,100,search,anomaly,Standard,2024-05-01T04:30:35.702Z,,,,
5bb015ac-2b02-4961-9d28-d45937aa646d,Kohls-US,web,extract.productNo,condition,100,search,anomaly,Standard,2024-05-01T04:30:38.743Z,,,,
cad4b476-ba12-4bfd-8e3f-b0b70696c10d,Bed-Bath-Beyond-US,web,extract.productNo,condition,100,search,anomaly,Standard,2024-05-01T04:30:41.277Z,,,,
d7b598ee-a3bd-48cb-b65f-517e98686466,North-Yarmoth-Veterinary-Hospital-US,web,extract.productNo,condition,100,search,anomaly,Standard,2024-05-01T04:30:41.856Z,,,,
96c4fcd9-7e66-4441-aec9-127965a5eb4b,Cobasi-BR,web,extract.productNo,condition,100,search,anomaly,Standard,2024-05-01T04:30:43.992Z,,,,
90b6fd84-bfe5-4a63-923d-7bdec675304f,Peppy-JP,web,extract.productNo,condition,100,search,anomaly,Standard,2024-05-01T04:30:44.610Z,,,,
e31d6abb-2909-4b57-a414-f8ad77f8fb56,Apple-US,web,extract.productNo,condition,100,search,anomaly,Standard,2024-05-01T04:30:44.692Z,,,,
3dbed578-f20a-4de9-9b04-2281393a15d8,Nordstrom-US,web,extract.productNo,condition,100,search,anomaly,Standard,2024-05-01T04:30:45.703Z,,,,
18437534-c113-4641-a06c-53ab6b52dca9,Novapet-CL,web,extract.productNo,condition,100,search,anomaly,Standard,2024-05-01T04:30:48.873Z,,,,
b298fd17-053a-42c5-a93f-1ce6a2edd608,PetSense-US,web,extract.productNo,condition,100,search,anomaly,Standard,2024-05-01T04:30:51.390Z,,,,
f4311f18-3a41-4a0e-993c-77dfb2a7b476,Tokopedia-ID,web,extract.productNo,condition,100,search,anomaly,Standard,2024-05-01T04:30:52.946Z,,,,
